run_seed,variant_name,layer_index,probe_name,probe_family,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
7,pretrained,0,query_only,query_only,64,1538,0.5,0.5,0.5
7,pretrained,0,exact_r1,exact,1,776,0.5466666666666666,0.5972222222222222,0.5972222222222222
7,pretrained,0,exact_r2,exact,2,1550,0.5825,0.5486111111111112,0.5486111111111112
7,pretrained,0,exact_r4,exact,4,3098,0.5841666666666666,0.5347222222222222,0.5347222222222222
7,pretrained,0,exact_r8,exact,8,6194,0.5758333333333333,0.5555555555555556,0.5555555555555556
7,pretrained,0,exact_r16,exact,16,12386,0.5775,0.5555555555555556,0.5555555555555556
7,pretrained,0,exact_r64,exact,64,49538,0.5716666666666667,0.5694444444444444,0.5694444444444444
7,pretrained,0,pairwise,pairwise,64,401986,0.8466666666666667,0.5833333333333334,0.5833333333333334
7,pretrained,0,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.8058333333333333,0.5416666666666666,0.5416666666666666
7,pretrained,0,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.8833333333333333,0.5138888888888888,0.5138888888888888
7,pretrained,0,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9541666666666667,0.5277777777777778,0.5277777777777778
7,pretrained,0,triadic,triadic,87,401246,0.955,0.5694444444444444,0.5694444444444444
7,pretrained,1,query_only,query_only,64,1538,0.5,0.5,0.5
7,pretrained,1,exact_r1,exact,1,776,0.58,0.5555555555555556,0.5555555555555556
7,pretrained,1,exact_r2,exact,2,1550,0.6125,0.5555555555555556,0.5555555555555556
7,pretrained,1,exact_r4,exact,4,3098,0.6041666666666666,0.5763888888888888,0.5763888888888888
7,pretrained,1,exact_r8,exact,8,6194,0.6141666666666666,0.5763888888888888,0.5763888888888888
7,pretrained,1,exact_r16,exact,16,12386,0.6066666666666667,0.5902777777777778,0.5902777777777778
7,pretrained,1,exact_r64,exact,64,49538,0.5941666666666666,0.6041666666666666,0.6041666666666666
7,pretrained,1,pairwise,pairwise,64,401986,0.885,0.5555555555555556,0.5555555555555556
7,pretrained,1,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.8658333333333333,0.5902777777777778,0.5902777777777778
7,pretrained,1,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.8883333333333333,0.5277777777777778,0.5277777777777778
7,pretrained,1,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9708333333333333,0.5555555555555556,0.5555555555555556
7,pretrained,1,triadic,triadic,87,401246,0.9675,0.5833333333333334,0.5833333333333334
7,pretrained,2,query_only,query_only,64,1538,0.5,0.5,0.5
7,pretrained,2,exact_r1,exact,1,776,0.5875,0.5486111111111112,0.5486111111111112
7,pretrained,2,exact_r2,exact,2,1550,0.6,0.5625,0.5625
7,pretrained,2,exact_r4,exact,4,3098,0.6116666666666667,0.6111111111111112,0.6111111111111112
7,pretrained,2,exact_r8,exact,8,6194,0.6166666666666667,0.5902777777777778,0.5902777777777778
7,pretrained,2,exact_r16,exact,16,12386,0.6083333333333333,0.5555555555555556,0.5555555555555556
7,pretrained,2,exact_r64,exact,64,49538,0.6,0.5555555555555556,0.5555555555555556
7,pretrained,2,pairwise,pairwise,64,401986,0.89,0.5069444444444444,0.5069444444444444
7,pretrained,2,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.8716666666666667,0.5694444444444444,0.5694444444444444
7,pretrained,2,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.9125,0.5069444444444444,0.5069444444444444
